id,marital_status_ids:id,disability,region,date_from,maximum_marginal_rate,portion_to_be_abated,addi_port_to_be_abated_per_dep,addi_port_for_disabled_armed_forces,effe_mon_with_rate_at_the_lim_of_the_brac,table,dependent,disabilit_armed_forces,pensioner,base_salary,zero_dependents,one_dependent,two_dependents,three_dependents,four_dependents,five_or_more_dependents
income_tax_nmarried_ndisab_a_01_01_2023_798,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,798,0,0,0,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_812,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,812,0.4,0,0,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_863,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,863,2.3,0.5,0,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_964,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,964,4.6,2.3,0,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_1051,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1051,5.5,3.8,0.8,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_1113,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1113,6.1,4.5,2.2,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_1194,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1194,7.4,5.7,3.5,1.8,0,0
income_tax_nmarried_ndisab_a_01_01_2023_1280,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1280,8.2,6.4,4.2,2.5,0.7,0.7
income_tax_nmarried_ndisab_a_01_01_2023_1380,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1380,8.9,7.3,4.8,3.2,1.5,1.5
income_tax_nmarried_ndisab_a_01_01_2023_1466,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1466,9.7,8,5.6,4.6,2.8,2.8
income_tax_nmarried_ndisab_a_01_01_2023_1609,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1609,10.4,8.6,7,5.3,3.5,3.5
income_tax_nmarried_ndisab_a_01_01_2023_1762,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1762,11.4,10.4,8,6.2,4.6,4.6
income_tax_nmarried_ndisab_a_01_01_2023_1925,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1925,12.7,12.1,10.2,8.8,8.2,8.2
income_tax_nmarried_ndisab_a_01_01_2023_2035,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2035,13.5,12.7,10.9,10.2,8.8,8.8
income_tax_nmarried_ndisab_a_01_01_2023_2151,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2151,14.1,13.4,11.5,10.9,9.5,9.5
income_tax_nmarried_ndisab_a_01_01_2023_2283,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2283,14.9,14.2,12.3,11.6,10.2,10.2
income_tax_nmarried_ndisab_a_01_01_2023_2437,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2437,15.5,14.9,13,12.3,10.9,10.9
income_tax_nmarried_ndisab_a_01_01_2023_2609,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2609,16.9,15.5,14.3,13,12.3,12.3
income_tax_nmarried_ndisab_a_01_01_2023_2848,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2848,17.6,16.3,15,13.6,13,13
income_tax_nmarried_ndisab_a_01_01_2023_3195,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,3195,18.5,17.2,15.8,14.4,13.7,13.7
income_tax_nmarried_ndisab_a_01_01_2023_3637,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,3637,19.8,18.8,17.6,17.2,16.1,16.1
income_tax_nmarried_ndisab_a_01_01_2023_4239,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,4239,20.7,19.4,18.3,17.9,17.5,17.5
income_tax_nmarried_ndisab_a_01_01_2023_4786,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,4786,21.7,20.6,19.3,18.9,18.6,18.6
income_tax_nmarried_ndisab_a_01_01_2023_5346,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,5346,22.3,21.9,20.2,19.6,19.2,19.2
income_tax_nmarried_ndisab_a_01_01_2023_6052,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,6052,23,22.5,20.9,20.4,19.9,19.9
income_tax_nmarried_ndisab_a_01_01_2023_6924,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,6924,24.4,23.9,22.5,22.3,22.1,22.1
income_tax_nmarried_ndisab_a_01_01_2023_8171,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,8171,25.1,24.9,23.9,23,22.7,22.7
income_tax_nmarried_ndisab_a_01_01_2023_9840,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,9840,26.5,26.2,25.3,25.1,24.1,24.1
income_tax_nmarried_ndisab_a_01_01_2023_11612,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,11612,27.2,26.9,26.3,25.7,24.8,24.8
income_tax_nmarried_ndisab_a_01_01_2023_19404,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,19404,27.9,27.6,27,26.7,25.5,25.5
income_tax_nmarried_ndisab_a_01_01_2023_20811,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,20811,28.6,28.3,27.7,27.4,26.1,26.1
income_tax_nmarried_ndisab_a_01_01_2023_23413,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,23413,29.2,29,28.4,28.1,27,27
income_tax_nmarried_ndisab_a_01_01_2023_26014,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,26014,29.9,29.6,29,28.8,27.8,27.8
income_tax_nmarried_ndisab_a_01_01_2023_9999999999,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,9999999999,30.5,30.3,29.7,29.4,28.5,28.5
income_tax_moneholder_ndisab_a_01_01_2023_798,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,798,0,0,0,0,0,0
income_tax_moneholder_ndisab_a_01_01_2023_813,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,813,0.7,0,0,0,0,0
income_tax_moneholder_ndisab_a_01_01_2023_842,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,842,1.9,0.6,0,0,0,0
income_tax_moneholder_ndisab_a_01_01_2023_878,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,878,3.8,1.2,0.6,0,0,0
income_tax_moneholder_ndisab_a_01_01_2023_925,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,925,4.5,2.5,0.8,0,0,0
income_tax_moneholder_ndisab_a_01_01_2023_1017,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,1017,5,3.2,2,0,0,0
income_tax_moneholder_ndisab_a_01_01_2023_1129,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,1129,5.6,3.8,2.5,0.6,0,0
income_tax_moneholder_ndisab_a_01_01_2023_1280,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,1280,6.4,4.8,3.2,1.3,0,0
income_tax_moneholder_ndisab_a_01_01_2023_1445,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,1445,7.5,6.2,5,3,1.8,1.2
income_tax_moneholder_ndisab_a_01_01_2023_1677,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,1677,8.2,7,5.7,4.4,3.2,1.9
income_tax_moneholder_ndisab_a_01_01_2023_1784,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,1784,9.2,8,7,5.4,4.1,3.6
income_tax_moneholder_ndisab_a_01_01_2023_1903,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,1903,9.8,8.7,8.2,6.3,5.1,4.6
income_tax_moneholder_ndisab_a_01_01_2023_2056,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,2056,10.5,9.3,8.8,7,6.4,5.2
income_tax_moneholder_ndisab_a_01_01_2023_2221,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,2221,11.2,10,9.5,7.6,7.1,6
income_tax_moneholder_ndisab_a_01_01_2023_2416,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,2416,11.9,11.4,10.2,8.3,7.8,6.7
income_tax_moneholder_ndisab_a_01_01_2023_2642,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,2642,12.5,12,10.9,9.7,8.5,8
income_tax_moneholder_ndisab_a_01_01_2023_3020,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,3020,13.2,12.7,11.6,10.4,9.2,8.6
income_tax_moneholder_ndisab_a_01_01_2023_3455,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,3455,15.1,15,13.9,12.9,12,11.7
income_tax_moneholder_ndisab_a_01_01_2023_3717,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,3717,15.7,15.6,14.7,13.6,13.3,12.3
income_tax_moneholder_ndisab_a_01_01_2023_3995,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,3995,16.4,16.3,15.4,14.4,14,13
income_tax_moneholder_ndisab_a_01_01_2023_4333,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,4333,17.1,17,16,15.1,14.8,14.4
income_tax_moneholder_ndisab_a_01_01_2023_4739,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,4739,18.1,17.7,16.7,15.8,15.5,15.3
income_tax_moneholder_ndisab_a_01_01_2023_5224,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,5224,18.8,18.4,18.1,16.5,16.2,15.9
income_tax_moneholder_ndisab_a_01_01_2023_5819,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,5819,19.5,19,18.8,17.2,16.9,16.6
income_tax_moneholder_ndisab_a_01_01_2023_6568,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,6568,20.2,19.7,19.5,17.9,17.6,17.3
income_tax_moneholder_ndisab_a_01_01_2023_7537,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,7537,20.8,20.7,20.4,18.9,18.8,18.7
income_tax_moneholder_ndisab_a_01_01_2023_8687,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,8687,21.5,21.4,21.3,20.3,19.5,19.3
income_tax_moneholder_ndisab_a_01_01_2023_9609,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,9609,22.5,22.4,22.3,21.5,20.5,20.4
income_tax_moneholder_ndisab_a_01_01_2023_10754,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,10754,23.2,23.1,23,22.2,22.1,21
income_tax_moneholder_ndisab_a_01_01_2023_14423,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,14423,24.1,24,23.7,22.8,22.7,21.9
income_tax_moneholder_ndisab_a_01_01_2023_20706,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,20706,25.5,25.4,25.3,24.6,24.4,23.6
income_tax_moneholder_ndisab_a_01_01_2023_23413,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,23413,26.1,26,26,25.6,25.1,24.3
income_tax_moneholder_ndisab_a_01_01_2023_26014,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,26014,26.8,26.7,26.7,26.2,26,25
income_tax_moneholder_ndisab_a_01_01_2023_29135,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,29135,27.5,27.4,27.4,26.9,26.7,25.9
income_tax_moneholder_ndisab_a_01_01_2023_9999999999,married_one_holder_pt,FALSE,a,2023-01-01,,,,,,,,,,9999999999,28.2,28.1,28.1,27.6,27.4,26.6
income_tax_mtwoholders_ndisab_a_01_01_2023_798,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,798,0,0,0,0,0,0
income_tax_mtwoholders_ndisab_a_01_01_2023_812,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,812,0.6,0.4,0,0,0,0
income_tax_mtwoholders_ndisab_a_01_01_2023_863,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,863,3.5,2.3,0.5,0,0,0
income_tax_mtwoholders_ndisab_a_01_01_2023_964,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,964,6.5,5,4,2.6,2,0.7
income_tax_mtwoholders_ndisab_a_01_01_2023_1051,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1051,7.8,6,5.4,3.5,3,2
income_tax_mtwoholders_ndisab_a_01_01_2023_1113,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1113,8.4,6.6,6,4.1,3.3,2.7
income_tax_mtwoholders_ndisab_a_01_01_2023_1194,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1194,9.1,7.9,7.4,5.5,4.9,3.6
income_tax_mtwoholders_ndisab_a_01_01_2023_1280,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1280,9.8,8.6,8,6.2,5.5,4.3
income_tax_mtwoholders_ndisab_a_01_01_2023_1380,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1380,10.5,10,8.8,7.4,6.2,5.6
income_tax_mtwoholders_ndisab_a_01_01_2023_1466,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1466,11.3,10.7,9.5,8.3,7,6.4
income_tax_mtwoholders_ndisab_a_01_01_2023_1609,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1609,12,11.5,10.2,9,7.8,7.1
income_tax_mtwoholders_ndisab_a_01_01_2023_1762,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1762,13,12.4,11.3,10,9.4,8.2
income_tax_mtwoholders_ndisab_a_01_01_2023_1925,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,1925,13.9,13.5,12.3,11.2,10.6,9.5
income_tax_mtwoholders_ndisab_a_01_01_2023_2035,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,2035,14.6,14.3,13,11.8,11.3,10.2
income_tax_mtwoholders_ndisab_a_01_01_2023_2151,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,2151,15.3,15,13.7,12.4,11.9,11.4
income_tax_mtwoholders_ndisab_a_01_01_2023_2283,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,2283,16,15.6,14.5,13.2,12.5,12.1
income_tax_mtwoholders_ndisab_a_01_01_2023_2437,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,2437,16.7,16.4,15.8,13.9,13.4,12.7
income_tax_mtwoholders_ndisab_a_01_01_2023_2609,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,2609,17.4,17.1,16.5,14.7,14.1,13.6
income_tax_mtwoholders_ndisab_a_01_01_2023_2848,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,2848,18,17.6,17.2,15.3,14.8,14.3
income_tax_mtwoholders_ndisab_a_01_01_2023_3195,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,3195,18.8,18.6,18,16.2,15.6,15.1
income_tax_mtwoholders_ndisab_a_01_01_2023_3637,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,3637,20,19.9,19.6,18,17.7,17.4
income_tax_mtwoholders_ndisab_a_01_01_2023_4239,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,4239,20.7,20.7,20.3,19.3,18.4,18.1
income_tax_mtwoholders_ndisab_a_01_01_2023_4786,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,4786,22,21.8,21.5,20.3,19.4,19.1
income_tax_mtwoholders_ndisab_a_01_01_2023_5346,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,5346,22.6,22.4,22.1,21.2,20.7,19.8
income_tax_mtwoholders_ndisab_a_01_01_2023_6052,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,6052,23.3,23.1,22.8,21.9,21.6,20.4
income_tax_mtwoholders_ndisab_a_01_01_2023_6924,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,6924,24.6,24.5,24.2,23.7,23.5,23.4
income_tax_mtwoholders_ndisab_a_01_01_2023_8171,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,8171,25.3,25.2,25.1,24.3,24.2,24.1
income_tax_mtwoholders_ndisab_a_01_01_2023_9840,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,9840,26.7,26.5,26.4,25.6,25.5,25.4
income_tax_mtwoholders_ndisab_a_01_01_2023_11612,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,11612,27.4,27.2,27.1,26.6,26.2,26
income_tax_mtwoholders_ndisab_a_01_01_2023_19404,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,19404,28.1,27.9,27.8,27.3,27.2,26.7
income_tax_mtwoholders_ndisab_a_01_01_2023_20811,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,20811,28.8,28.6,28.5,28,27.9,27.4
income_tax_mtwoholders_ndisab_a_01_01_2023_23413,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,23413,29.3,29.2,29.1,28.7,28.6,28.3
income_tax_mtwoholders_ndisab_a_01_01_2023_26014,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,26014,30,29.9,29.8,29.3,29.2,29.1
income_tax_mtwoholders_ndisab_a_01_01_2023_9999999999,married_two_holders_pt,FALSE,a,2023-01-01,,,,,,,,,,9999999999,30.7,30.6,30.5,30,29.9,29.8
income_tax_nmarried_disab_a_01_01_2023_1348,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,1348,0,0,0,0,0,0
income_tax_nmarried_disab_a_01_01_2023_1456,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,1456,0.8,0,0,0,0,0
income_tax_nmarried_disab_a_01_01_2023_1498,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,1498,2.9,0.4,0,0,0,0
income_tax_nmarried_disab_a_01_01_2023_1687,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,1687,3.6,1.8,0,0,0,0
income_tax_nmarried_disab_a_01_01_2023_2013,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,2013,4.6,3.3,2.6,0.1,0,0
income_tax_nmarried_disab_a_01_01_2023_2140,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,2140,5.6,4.3,3.6,1.5,0.8,0
income_tax_nmarried_disab_a_01_01_2023_2278,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,2278,6.9,5,4.3,2.9,1.5,0.8
income_tax_nmarried_disab_a_01_01_2023_2382,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,2382,8.6,6.7,5.3,4,2.6,1.9
income_tax_nmarried_disab_a_01_01_2023_2552,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,2552,10,8.1,6.7,5.3,4.1,2.6
income_tax_nmarried_disab_a_01_01_2023_2637,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,2637,10.6,9.4,8.1,6.7,4.7,4.1
income_tax_nmarried_disab_a_01_01_2023_2741,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,2741,11.4,10.1,8.7,7.4,6,5.3
income_tax_nmarried_disab_a_01_01_2023_3015,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,3015,12,10.8,9.4,8.1,7.4,6.7
income_tax_nmarried_disab_a_01_01_2023_3343,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,3343,12.8,11.8,10.7,9.7,9.2,8.8
income_tax_nmarried_disab_a_01_01_2023_3690,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,3690,13.7,12.6,11.6,10.4,10,9.6
income_tax_nmarried_disab_a_01_01_2023_3827,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,3827,14.4,13.4,12.9,11.1,10.7,10.3
income_tax_nmarried_disab_a_01_01_2023_4048,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,4048,15.1,14.1,13.7,11.8,11.4,11
income_tax_nmarried_disab_a_01_01_2023_4481,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,4481,16.4,15.5,15.1,13.3,12.7,12.3
income_tax_nmarried_disab_a_01_01_2023_4755,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,4755,17.1,16.2,15.8,14,13.6,13
income_tax_nmarried_disab_a_01_01_2023_5060,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,5060,17.8,16.9,16.5,14.7,14.3,13.9
income_tax_nmarried_disab_a_01_01_2023_5356,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,5356,18.5,17.6,17.2,15.4,15,14.6
income_tax_nmarried_disab_a_01_01_2023_5799,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,5799,19.1,18.3,17.9,16.7,15.6,15.3
income_tax_nmarried_disab_a_01_01_2023_6241,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,6241,20.2,19.3,18.9,17.8,16.7,16.2
income_tax_nmarried_disab_a_01_01_2023_6966,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,6966,20.8,20.1,19.8,18.9,17.9,17.6
income_tax_nmarried_disab_a_01_01_2023_7448,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,7448,21.5,20.9,20.5,19.5,18.6,18.3
income_tax_nmarried_disab_a_01_01_2023_8046,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,8046,22.2,21.6,21.3,20.2,20,19
income_tax_nmarried_disab_a_01_01_2023_8749,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,8749,22.8,22.3,22,21,20.3,19.7
income_tax_nmarried_disab_a_01_01_2023_9555,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,9555,23.5,22.9,22.6,21.7,20.7,20.4
income_tax_nmarried_disab_a_01_01_2023_10311,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,10311,24.6,23.9,23.7,22.7,22.4,21.5
income_tax_nmarried_disab_a_01_01_2023_12901,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,12901,25.3,24.6,24.4,23.4,23.1,22.2
income_tax_nmarried_disab_a_01_01_2023_9999999999,not_married_pt,TRUE,a,2023-01-01,,,,,,,,,,9999999999,25.9,25.3,25.1,24.1,23.8,22.8
income_tax_moneholder_disab_a_01_01_2023_1698,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,1698,0,0,0,0,0,0
income_tax_moneholder_disab_a_01_01_2023_1804,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,1804,0.5,0,0,0,0,0
income_tax_moneholder_disab_a_01_01_2023_1961,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,1961,2.6,0.7,0.1,0,0,0
income_tax_moneholder_disab_a_01_01_2023_2030,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,2030,3.3,2.1,1.5,0.3,0,0
income_tax_moneholder_disab_a_01_01_2023_2411,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,2411,4,3.5,2.2,1,0,0
income_tax_moneholder_disab_a_01_01_2023_2594,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,2594,4.6,4.2,2.9,1.7,0.4,0
income_tax_moneholder_disab_a_01_01_2023_2848,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,2848,6,5.5,4.3,3.1,2.5,1.3
income_tax_moneholder_disab_a_01_01_2023_3058,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,3058,6.7,6.2,5,3.8,3.2,2
income_tax_moneholder_disab_a_01_01_2023_3279,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,3279,7.7,7.2,6,4.8,4.3,3
income_tax_moneholder_disab_a_01_01_2023_3455,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,3455,8.5,8.3,7.4,6.4,6.1,5.8
income_tax_moneholder_disab_a_01_01_2023_3616,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,3616,9.5,9.5,8.4,7.4,7.1,6.9
income_tax_moneholder_disab_a_01_01_2023_3722,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,3722,10.2,10.2,9.9,8.1,7.8,7.6
income_tax_moneholder_disab_a_01_01_2023_3938,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,3938,10.9,10.9,10.6,8.9,8.5,8.3
income_tax_moneholder_disab_a_01_01_2023_4048,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,4048,11.6,11.6,11.3,9.6,9.3,8.9
income_tax_moneholder_disab_a_01_01_2023_4376,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,4376,12.3,12.2,12,10.3,10,9.7
income_tax_moneholder_disab_a_01_01_2023_4587,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,4587,13,12.9,12.6,11,10.7,10.4
income_tax_moneholder_disab_a_01_01_2023_5035,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,5035,13.7,13.6,13.3,11.7,11.4,11.1
income_tax_moneholder_disab_a_01_01_2023_5471,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,5471,14.4,14.3,14,12.3,12,11.8
income_tax_moneholder_disab_a_01_01_2023_5688,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,5688,15.1,15,14.7,13.7,12.7,12.5
income_tax_moneholder_disab_a_01_01_2023_6135,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,6135,15.7,15.6,15.4,14.4,13.4,13.2
income_tax_moneholder_disab_a_01_01_2023_6458,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,6458,16.4,16.3,16,15.1,14.1,13.9
income_tax_moneholder_disab_a_01_01_2023_7058,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,7058,17.3,17.2,17.2,16.2,15.4,15.3
income_tax_moneholder_disab_a_01_01_2023_7601,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,7601,18,17.9,17.9,17,16.7,15.9
income_tax_moneholder_disab_a_01_01_2023_8465,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,8465,18.7,18.6,18.6,17.7,17.6,16.6
income_tax_moneholder_disab_a_01_01_2023_9446,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,9446,19.3,19.3,19.2,18.4,18.3,17.4
income_tax_moneholder_disab_a_01_01_2023_10532,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,10532,20.4,20.3,20.2,19.4,19.3,18.5
income_tax_moneholder_disab_a_01_01_2023_11617,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,11617,21,20.9,20.9,20.1,20,19.1
income_tax_moneholder_disab_a_01_01_2023_13389,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,13389,22.1,22,21.9,21.1,20.9,20.2
income_tax_moneholder_disab_a_01_01_2023_9999999999,married_one_holder_pt,TRUE,a,2023-01-01,,,,,,,,,,9999999999,22.7,22.6,22.5,21.8,21.6,20.8
income_tax_mtwoholders_disab_a_01_01_2023_1348,married_two_holders_pt,TRUE,a,2023-01-01,,,,,,,,,,1348,0,0,0,0,0,0
income_tax_mtwoholders_disab_a_01_01_2023_1456,married_two_holders_pt,TRUE,a,2023-01-01,,,,,,,,,,1456,0.8,0,0,0,0,0
income_tax_mtwoholders_disab_a_01_01_2023_1498,married_two_holders_pt,TRUE,a,2023-01-01,,,,,,,,,,1498,2.5,2,0,0,0,0
income_tax_mtwoholders_disab_a_01_01_2023_1687,married_two_holders_pt,TRUE,a,2023-01-01,,,,,,,,,,1687,3.2,2.7,1.3,0,0,0
income_tax_mtwoholders_disab_a_01_01_2023_2013,married_two_holders_pt,TRUE,a,2023-01-01,,,,,,,,,,2013,4.6,4.1,2.9,1.6,1.1,0
