id,code,name
hr_habilitation_644,644,LICENCIATURA CIENCIAS FISICAS
hr_habilitation_646,646,LICENCIATURA MATEMATICA E ESTATISTICA
hr_habilitation_648,648,LICENCIATURA INFORMATICA
hr_habilitation_652,652,LICENCIATURA ENGENHARIA E TECNICAS AFINS
hr_habilitation_654,654,LICENCIATURA INDUSTRIAS TRANSFORMADORAS
hr_habilitation_658,658,LICENCIATURA ARQUITECTURA E CONSTRUCAO
hr_habilitation_662,662,"LICENCIATURA AGRICULTURA, SILVICULTURA E PESCA"
hr_habilitation_664,664,LICENCIATURA CIENCIAS VETERINARIAS
hr_habilitation_672,672,LICENCIATURA SAUDE
hr_habilitation_676,676,LICENCIATURA SERVICOS SOCIAIS
hr_habilitation_681,681,LICENCIATURA SERVICOS PESSOAIS
hr_habilitation_684,684,LICENCIATURA SERVICOS DE TRANSPORTE
hr_habilitation_685,685,LICENCIATURA PROTECCAO DO AMBIENTE
hr_habilitation_686,686,LICENCIATURA SERVICOS DE SEGURANCA
hr_habilitation_699,699,LICENCIATURA DESCONHECIDA OU NAO ESPECIFICADA
hr_habilitation_714,714,MESTRADO FORMACAO DE PROFESSORES E CIENCIAS DA EDUCACAO
hr_habilitation_721,721,MESTRADO ARTES
hr_habilitation_722,722,MESTRADO HUMANIDADES
hr_habilitation_731,731,MESTRADO CIENCIAS SOCIAIS E DO COMPORTAMENTO
hr_habilitation_732,732,MESTRADO INFORMACAO E JORNALISMO
hr_habilitation_734,734,MESTRADO CIENCIAS EMPRESARIAIS
hr_habilitation_738,738,MESTRADO DIREITO
hr_habilitation_742,742,MESTRADO CIENCIAS DA VIDA
hr_habilitation_744,744,MESTRADO CIENCIAS FISICAS
hr_habilitation_746,746,MESTRADO MATEMATICA E ESTATISTICA
hr_habilitation_748,748,MESTRADO INFORMATICA
hr_habilitation_752,752,MESTRADO ENGENHARIA E TECNICAS AFINS
hr_habilitation_754,754,MESTRADO INDUSTRIAS TRANSFORMADORAS
hr_habilitation_758,758,MESTRADO ARQUITECTURA E CONSTRUCAO
hr_habilitation_762,762,"MESTRADO AGRICULTURA, SILVICULTURA E PESCA"
hr_habilitation_764,764,MESTRADO CIENCIAS VETERINARIAS
hr_habilitation_772,772,MESTRADO SAUDE
hr_habilitation_776,776,MESTRADO SERVICOS SOCIAIS
hr_habilitation_781,781,MESTRADO SERVICOS PESSOAIS
hr_habilitation_784,784,MESTRADO SERVICOS DE TRANSPORTE
hr_habilitation_785,785,MESTRADO PROTECCAO DO AMBIENTE
hr_habilitation_786,786,MESTRADO SERVICOS DE SEGURANCA
hr_habilitation_799,799,MESTRADO DESCONHECIDO OU NAO ESPECIFICADO
